taxi_group_name,driver_full_name,disabled,deleted,vehicle_brand,experience_group,awards,endurance_score,profitability_score,safety_adherence_score,efficiency_score,no_of_1_star_rating,no_of_2_star_rating,no_of_3_star_rating,no_of_4_star_rating,no_of_5_star_rating
"Fletcher, Gallagher and Blake",Colin Wilson,0,0,0,1,0,-0.222496,2.42598,1.46062,1.18737,4,12,22,42,43
"Fletcher, Gallagher and Blake",Jodie Newman,0,0,14,4,1,0.477154,0.700032,0.971653,0.378778,8,11,10,40,52
"Fletcher, Gallagher and Blake",Callum Watson,0,0,15,6,0,2.1275,-0.129976,-0.102419,-0.315549,13,30,43,17,12
"Fletcher, Gallagher and Blake",Harry Woodward,0,0,12,4,0,1.68426,0.120002,0.734974,-0.654178,8,15,32,26,37
"Fletcher, Gallagher and Blake",Howard Marsden,0,0,0,5,0,-0.602943,-0.494893,0.548586,-0.978669,9,38,51,12,22
"Fletcher, Gallagher and Blake",Daniel Wilson,0,0,10,1,0,-2.40148,-0.759652,-1.62541,0.829154,9,17,22,43,52
"Fletcher, Gallagher and Blake",Rhys Brown,0,0,3,2,0,-1.95476,-1.28203,-1.96903,-0.342305,14,17,32,35,28
"Fletcher, Gallagher and Blake",Martin Stevens,0,0,15,1,0,-1.55125,0.125683,0.618239,-0.391397,10,33,44,20,27
"Fletcher, Gallagher and Blake",Thomas Walker,1,0,12,2,0,-0.565354,-0.201717,-0.572368,0.662527,7,10,5,65,50
"Fletcher, Gallagher and Blake",Jeremy Brown,0,0,2,3,0,1.00071,1.96569,1.85587,1.75923,5,8,11,49,58
"Fletcher, Gallagher and Blake",Ellie Ward,0,0,12,5,0,1.29369,1.38798,-0.0437318,0.375294,8,29,45,17,19
"Fletcher, Gallagher and Blake",Simon Begum,0,0,17,6,0,-1.07364,-0.654408,-1.06782,0.0875491,-2,12,10,49,56
"Fletcher, Gallagher and Blake",Allan Turner,0,0,16,3,0,-1.10332,-0.679409,0.279265,-1.29109,0,-1,5,58,62
"Fletcher, Gallagher and Blake",Jessica Burns,0,0,4,6,1,2.13563,1.6056,0.776396,1.05647,-1,2,2,54,53
"Fletcher, Gallagher and Blake",Dale Thompson,0,0,0,1,0,0.120883,-0.42382,-0.395665,0.790239,17,33,57,17,15
"Fletcher, Gallagher and Blake",Jason Perry,0,0,12,4,0,-0.321926,-1.06876,-1.16933,-1.37111,4,5,15,58,53
"Fletcher, Gallagher and Blake",Cheryl Hall,0,0,6,1,0,0.0965802,-0.0681411,0.0712951,1.14859,18,33,25,28,27
"Fletcher, Gallagher and Blake",Fiona O'Brien,0,0,15,3,0,0.0162578,0.575094,0.454728,0.0370439,15,16,31,28,39
"Fletcher, Gallagher and Blake",Joanne Williamson,0,0,16,3,0,-0.844677,-0.211118,0.802795,-1.33381,11,33,41,22,32
"Fletcher, Gallagher and Blake",Julia Powell,0,0,9,1,0,-0.157436,-0.687128,1.40431,-0.340654,13,28,42,11,6
"Fletcher, Gallagher and Blake",Paula Bradley,0,0,9,3,0,-0.82546,0.248002,-1.14982,-1.09907,4,2,4,54,51
"Fletcher, Gallagher and Blake",Jean Griffiths,0,0,17,3,0,-0.266231,-0.820557,-0.837392,-0.672453,17,41,59,5,4
"Fletcher, Gallagher and Blake",Neil Evans,0,0,14,4,0,-0.141371,2.7276,0.686904,1.3945,7,15,31,46,38
"Fletcher, Gallagher and Blake",Jake Green,0,0,9,3,0,-1.20673,-1.11108,-0.769494,-1.2973,8,11,35,33,34
"Fletcher, Gallagher and Blake",Kevin Coleman,0,0,14,1,0,-1.11701,-1.44199,-1.42903,1.33661,15,23,29,18,18
"Fletcher, Gallagher and Blake",Leonard Bradshaw,0,0,9,3,0,-0.67046,0.223002,-0.999825,-1.05507,4,2,5,52,53
"Fletcher, Gallagher and Blake",Reece Cox,0,0,0,1,0,-0.692186,-1.90367,-0.618684,-1.3994,17,31,52,7,5
"Fletcher, Gallagher and Blake",Victor Singh,0,0,14,5,0,0.25492,-1.6288,-0.937416,-1.54713,7,4,9,58,54
"Fletcher, Gallagher and Blake",Maurice Mills,0,0,11,4,0,-0.0472328,-0.0450873,-0.203141,1.46694,11,34,48,17,23
"Fletcher, Gallagher and Blake",George Middleton,0,0,12,2,0,-0.385091,-0.0167135,-0.684392,-0.928326,2,6,1,59,47
"Fletcher, Gallagher and Blake",Victoria Phillips,0,0,5,1,0,0.122454,0.0904233,-0.726317,-1.09386,4,8,13,37,41
"Fletcher, Gallagher and Blake",Jenna Young,0,0,9,4,0,-0.140417,0.934831,1.82193,0.920535,3,10,13,52,41
"Fletcher, Gallagher and Blake",Dorothy Edwards,0,0,12,5,0,-0.275779,-0.666276,-0.68052,0.260138,7,11,20,25,57
"Fletcher, Gallagher and Blake",Edward Bradley,0,0,6,3,0,0.00351019,0.692814,-0.0259804,-1.03174,18,25,56,7,11
"Fletcher, Gallagher and Blake",Barbara Poole,0,0,12,5,0,-1.02013,-0.632875,-0.839758,-0.542607,17,26,22,37,32
"Fletcher, Gallagher and Blake",Rebecca Edwards,0,0,17,1,0,-1.56121,-0.347679,0.798837,-0.990498,16,29,35,30,19
"Fletcher, Gallagher and Blake",Jack Wilkins,0,0,3,5,1,0.449067,1.00936,-0.181103,1.38007,0,3,2,51,69
"Fletcher, Gallagher and Blake",Sandra Watts,0,1,1,5,0,1.5079,-0.342992,0.98007,0.406989,15,23,27,34,26
"Fletcher, Gallagher and Blake",Amanda Nicholls,0,0,17,2,0,0.963216,0.172879,0.316113,-1.09183,17,39,57,4,3
"Fletcher, Gallagher and Blake",Kelly Clark,0,0,12,1,0,-1.40031,0.212447,-0.98909,0.230208,13,14,33,28,24
"Fletcher, Gallagher and Blake",Helen Ward,0,0,17,1,0,1.03069,2.43915,1.14698,0.446485,12,16,25,38,43
"Fletcher, Gallagher and Blake",Adrian Brown,0,0,17,2,0,-0.48416,-0.734731,0.45206,-1.22579,10,27,40,20,20
"Fletcher, Gallagher and Blake",Joel Reed,0,0,0,5,0,-0.0532547,0.576694,1.56693,-0.739197,15,33,41,21,21
"Fletcher, Gallagher and Blake",Brian Smart,0,0,16,4,1,1.1666,1.24688,1.41944,0.696306,4,7,1,59,65
"Fletcher, Gallagher and Blake",Joe Bell,1,0,9,1,0,0.303657,-0.0456249,0.355733,-0.551831,19,38,41,12,17
"Fletcher, Gallagher and Blake",Ian Skinner,1,0,8,4,0,0.908443,-0.826909,-1.30183,-0.0394037,2,8,3,51,51
"Fletcher, Gallagher and Blake",Reece Briggs,0,0,14,2,0,1.13644,0.591087,0.932757,1.09479,7,6,20,39,39
"Fletcher, Gallagher and Blake",Clive Mason,0,0,17,1,0,-0.896996,-0.418914,-0.386734,-0.0928402,1,10,23,44,32
"Fletcher, Gallagher and Blake",Antony Potter,0,0,17,4,0,-0.588569,-0.406159,-1.2532,0.488561,12,11,19,44,56
"Fletcher, Gallagher and Blake",James Thomas,0,0,15,1,0,-0.627746,0.404618,1.22961,-1.10531,19,39,55,6,5
"Fletcher, Gallagher and Blake",Louise Jones,0,0,6,6,1,0.425939,0.970893,1.57262,0.0336696,6,19,30,52,36
"Fletcher, Gallagher and Blake",Dorothy Jones,1,0,9,1,0,-0.18538,0.286211,-0.726034,-0.51681,6,30,47,5,15
"Fletcher, Gallagher and Blake",Philip Sullivan,0,0,2,5,1,2.13379,1.32919,0.517752,0.8395,2,8,13,36,42
"Fletcher, Gallagher and Blake",Hilary King,0,1,6,1,0,-1.26705,-0.89651,-0.997293,-0.0718731,7,16,24,35,35
"Fletcher, Gallagher and Blake",Bradley Crawford,0,0,17,6,0,-0.641894,-0.450527,-0.785151,1.04692,9,20,25,34,34
"Fletcher, Gallagher and Blake",Kathryn Thomas,0,0,0,2,0,0.264989,0.288269,2.13916,-0.896223,14,35,41,7,9
Hill and Sons,Linda Hall,0,0,15,3,0,-1.59943,-1.02836,1.94927,-1.23381,22,32,66,7,6
Hill and Sons,Mark Robson,0,0,3,4,0,-0.786108,-0.896183,0.158701,0.849184,4,13,26,39,51
Hill and Sons,Lesley Parkinson,0,0,10,3,0,-0.94394,0.693823,-0.953935,-2.04104,9,29,39,21,29
Hill and Sons,Louise McDonald,0,0,6,6,0,-0.357611,-0.707872,-0.422135,0.131757,15,25,39,23,20
Hill and Sons,Guy Hutchinson,0,0,17,2,0,0.887501,-0.223019,-0.0301757,0.100945,10,28,51,11,21
Hill and Sons,Suzanne Smith,0,0,3,4,0,-0.784186,-0.385124,1.13987,0.56489,5,11,17,53,38
Hill and Sons,Danny Khan,0,0,4,6,0,1.07631,-0.404758,-0.34055,-0.228305,8,23,36,27,33
Hill and Sons,Joel Howard,0,0,10,2,0,0.746305,1.25615,1.47091,-0.602901,15,36,47,20,14
Hill and Sons,Carol Jones,0,0,13,6,0,-0.246378,-0.0626662,0.585083,-0.842837,16,34,56,5,11
Hill and Sons,Geoffrey Hooper,0,0,17,1,0,0.494409,0.0964483,0.146121,0.636491,12,31,55,24,24
Hill and Sons,Robert Cook,0,0,8,1,0,-1.51271,-1.40932,-1.4747,0.340953,12,19,37,34,33
Hill and Sons,Francis Scott,0,0,12,5,0,1.32759,-0.653721,0.417073,-0.645832,5,10,12,55,51
Hill and Sons,Ross Walker,0,0,5,3,0,-0.405348,0.698625,0.296765,0.998244,4,9,13,49,35
Hill and Sons,Keith Blake,0,0,15,6,0,0.497507,1.21751,1.46412,0.0127901,13,30,32,18,18
Hill and Sons,Clare Quinn,0,0,12,5,0,-0.896134,-0.510875,-0.885758,-0.448607,14,23,19,39,32
Hill and Sons,Thomas Sullivan,0,0,0,3,0,0.0472186,-0.487967,-0.3912,-0.281616,15,19,46,20,27
Hill and Sons,Joyce Cole,0,0,5,1,0,-0.853696,0.726142,0.19168,0.229743,8,12,29,38,40
Hill and Sons,Katy Cook,0,0,0,4,0,-1.17393,-1.53568,-0.852256,-1.19847,13,27,55,12,12
Hill and Sons,Leonard Bell,0,0,3,4,0,-0.797265,-0.333402,1.03032,0.684439,13,15,18,34,33
Hill and Sons,Jayne Matthews,0,0,10,4,0,0.28593,0.523605,1.74036,0.994948,19,23,27,28,29
Hill and Sons,Jason White,0,0,14,3,0,-1.13616,-1.34398,-1.21429,-0.59404,21,35,61,6,19
Hill and Sons,Henry Wells,0,0,11,4,0,1.59879,1.65666,0.103581,0.391953,7,6,7,48,61
Hill and Sons,Megan Dixon,0,0,12,2,0,0.586202,0.00369126,-0.329702,0.731652,15,43,57,6,3
Hill and Sons,Stanley Field,0,0,12,4,0,0.655084,0.0395775,-0.103558,0.832857,4,19,23,33,31
Hill and Sons,Katie Fry,0,0,17,5,0,0.765709,-0.273185,0.444586,1.28225,4,5,15,42,58
Hill and Sons,Dorothy Wood,0,0,16,3,0,-0.759815,0.745512,1.71055,-0.675075,13,23,41,20,27
Hill and Sons,Linda Bryant,0,0,2,3,0,1.01671,2.09569,1.78487,1.81223,0,8,9,50,62
Hill and Sons,Annette Hunter,0,0,3,1,0,-0.350328,-0.983077,-0.130499,2.41652,9,10,26,28,34
Hill and Sons,Damien Smith,0,0,1,5,0,-0.28921,0.850437,-0.467991,1.26761,11,23,30,32,34
Hill and Sons,Geraldine Morgan,0,0,12,5,0,1.28269,1.32298,0.107268,0.388294,10,27,39,20,18
Hill and Sons,Jordan Bowen,0,0,15,4,0,-0.263425,-0.666669,2.32478,-1.05356,3,3,12,59,54
Hill and Sons,Cheryl Walker,0,0,12,4,0,2.51639,0.136139,-1.04033,-2.2472,5,7,16,39,46
Hill and Sons,Gerard Butler,0,0,0,4,0,-0.305405,-0.0521152,0.999038,-1.17978,18,45,43,9,10
Hill and Sons,Kim Wood,0,0,1,2,0,0.249206,0.24607,-0.666323,0.961877,8,28,34,26,27
"Thompson, Taylor and Williams",Donna Heath,0,0,0,5,0,0.125824,-0.110792,-0.506312,1.40701,14,27,33,37,22
"Thompson, Taylor and Williams",Leslie James,0,0,3,5,0,-1.40362,-0.772498,-1.14143,-0.343961,8,5,18,49,47
"Thompson, Taylor and Williams",Karen Harrison,0,0,6,5,0,-0.0693579,-0.507862,-0.906507,-0.886201,5,-2,9,67,48
"Thompson, Taylor and Williams",Catherine Williams,0,0,0,3,0,-0.314593,0.399485,-0.849373,3.09826,18,31,42,17,8
"Thompson, Taylor and Williams",Jemma Chapman,0,0,14,5,0,-1.03151,-1.48719,-0.856002,-0.770339,0,7,8,68,52
"Thompson, Taylor and Williams",Irene Kent,0,0,17,4,0,-0.726038,-0.85955,-0.54367,-0.128131,14,19,51,12,13
"Thompson, Taylor and Williams",Alan White,0,0,11,4,0,-0.111475,-0.666426,1.21419,-0.196283,1,5,17,55,67
"Thompson, Taylor and Williams",Nicola Lord,0,0,1,5,0,-0.635205,-0.408464,-0.735296,-1.02095,2,8,6,61,61
"Thompson, Taylor and Williams",Leanne Hayward,0,0,9,5,0,-0.668225,-0.762139,-0.788986,-0.109751,0,1,6,62,60
"Thompson, Taylor and Williams",Jack Phillips,0,0,9,6,0,-0.34475,-0.0788214,0.748493,-0.376876,21,43,59,13,10
"Thompson, Taylor and Williams",Jean Davies,0,0,0,1,0,0.00988322,-0.40982,-0.503665,0.806239,20,36,55,19,14
"Thompson, Taylor and Williams",Brandon Walsh,0,0,3,2,0,-1.88376,-1.20703,-1.84503,-0.235305,8,19,32,37,28
"Thompson, Taylor and Williams",Beth Burgess,0,0,11,2,0,-0.676147,-0.929645,-1.01354,-0.598557,25,30,59,2,6
"Thompson, Taylor and Williams",Jason Barker,0,0,5,4,0,-0.0145667,1.9618,0.389191,1.40708,3,6,17,47,44
"Thompson, Taylor and Williams",Beverley Newton,0,0,17,5,0,-0.055645,0.302377,-0.26393,1.0241,2,9,21,50,40
"Thompson, Taylor and Williams",Gregory Smith,0,0,17,1,0,-0.673246,0.507033,3.37047,0.0266652,17,29,45,8,11
"Thompson, Taylor and Williams",Sylvia Bailey,0,0,12,6,0,0.683241,-0.791408,0.0689207,0.30395,16,22,32,14,27
"Thompson, Taylor and Williams",Jake Cooke,0,0,2,5,0,-0.901635,0.284599,-0.391119,-0.43136,6,15,17,32,32
"Thompson, Taylor and Williams",Gary Bailey,0,0,13,1,0,-0.321927,-0.308027,-0.621186,-0.186044,23,35,46,17,18
"Thompson, Taylor and Williams",Rhys Ellis,0,0,12,3,0,0.0988064,-0.283224,-0.220489,0.124807,7,18,20,44,36
"Thompson, Taylor and Williams",Tom Andrews,0,0,12,2,0,-1.35897,-1.09307,-1.25616,-1.66727,13,25,19,41,41
"Thompson, Taylor and Williams",Chelsea Frost,0,0,7,5,1,0.479891,1.03013,-0.174333,1.55661,0,3,10,57,55
"Thompson, Taylor and Williams",Yvonne White,1,0,1,5,0,-1.12502,-0.939971,-1.10957,-0.163956,7,10,25,37,35
"Thompson, Taylor and Williams",Dean Bishop,0,0,8,5,0,-0.789343,-1.5152,-0.656619,-1.70251,17,35,57,7,15
"Thompson, Taylor and Williams",Francesca Khan,0,0,14,5,0,1.67116,-0.514882,0.0914287,-1.30261,20,38,52,3,8
"Thompson, Taylor and Williams",Charlie Russell,0,0,1,4,0,1.17912,1.33024,-0.782237,0.0923381,5,1,12,58,53
"Thompson, Taylor and Williams",Jodie Campbell,0,0,17,4,0,-1.02082,-1.81848,-0.710355,-0.654317,7,13,21,34,41
"Thompson, Taylor and Williams",Nicholas Taylor,0,0,17,2,0,-0.0982796,-1.20685,-0.0465527,0.128427,7,11,34,46,29
